name,belt,total_reigns,total_days_as_champion,average_reign_duration,longest_single_reign,shortest_single_reign,most_recent_reign,first_reign,most_recent_reign_end,days_since_last_reign,title_diversity,avg_gap_between_reigns,career_span_days,avg_reigns_per_title
AJ Styles,WWE Championship,2,-34532.0,-17266.0,-17055.0,-17477.0,2017-11-07,2016-09-11,1970-01-01 00:00:00.000000002,2737.0,1,17476.0,-17055.0,2.0
Alberto Del Rio,WWE Championship,2,-30449.0,-15224.5,-15200.0,-15249.0,2011-10-02,2011-08-14,1970-01-01 00:00:00.000000002,4965.0,1,15248.0,-15200.0,2.0
Alexa Bliss,WWE Raw Women's Championship,3,-52391.0,-17463.7,-17286.0,-17699.0,2018-06-17,2017-04-30,1970-01-01 00:00:00.000000003,2515.0,2,17401.2,-17139.0,2.5
Alexa Bliss,WWE SmackDown Women's Championship,2,-34357.0,-17178.5,-17139.0,-17218.0,2017-02-21,2016-12-04,1970-01-01 00:00:00.000000002,2996.0,2,17401.2,-17139.0,2.5
Alundra Blayze,WWE Women's Championship,3,-27396.0,-9132.0,-8747.0,-9426.0,1995-10-23,1993-12-13,1970-01-01 00:00:00.000000003,10788.0,1,9323.5,-8747.0,3.0
André the Giant,WWE Championship,1,-6609.0,-6609.0,-6609.0,-6609.0,1988-02-05,1988-02-05,1970-01-01 00:00:00.000000001,13605.0,1,,-6609.0,1.0
Antonio Inoki,WWE Championship,1,-3620.0,-3620.0,-3620.0,-3620.0,1979-11-30,1979-11-30,1970-01-01 00:00:00.000000001,16594.0,1,,-3620.0,1.0
Asuka,WWE SmackDown Women's Championship,1,-17881.0,-17881.0,-17881.0,-17881.0,2018-12-16,2018-12-16,1970-01-01 00:00:00.000000001,2333.0,1,,-17881.0,1.0
Batista,WWE Championship,2,-29063.0,-14531.5,-14402.0,-14661.0,2010-02-21,2009-06-07,1970-01-01 00:00:00.000000002,5553.0,1,14660.0,-14402.0,2.0
Bayley,WWE Raw Women's Championship,1,-17210.0,-17210.0,-17210.0,-17210.0,2017-02-13,2017-02-13,1970-01-01 00:00:00.000000001,3004.0,2,18106.5,-17210.0,1.5
Bayley,WWE SmackDown Women's Championship,2,-36215.0,-18107.5,-18035.0,-18180.0,2019-10-11,2019-05-19,1970-01-01 00:00:00.000000002,2034.0,2,18106.5,-17210.0,1.5
Becky Lynch,WWE Raw Women's Championship,1,-17994.0,-17994.0,-17994.0,-17994.0,2019-04-08,2019-04-08,1970-01-01 00:00:00.000000001,2220.0,2,17925.0,-17055.0,2.0
Becky Lynch,WWE SmackDown Women's Championship,3,-52839.0,-17613.0,-17055.0,-17994.0,2019-04-08,2016-09-11,1970-01-01 00:00:00.000000003,2220.0,2,17925.0,-17055.0,2.0
Bertha Faye,WWE Women's Championship,1,-9369.0,-9369.0,-9369.0,-9369.0,1995-08-27,1995-08-27,1970-01-01 00:00:00.000000001,10845.0,1,,-9369.0,1.0
Beth Phoenix,WWE Women's Championship,3,-42625.0,-14208.3,-13793.0,-14724.0,2010-04-25,2007-10-07,1970-01-01 00:00:00.000000003,5490.0,1,14415.0,-13793.0,3.0
Bette Boucher,WWE Women's Championship,1,-35323.0,-35323.0,-35323.0,-35323.0,2066-09-17,2066-09-17,1970-01-01 00:00:00.000000001,-15109.0,1,,-35323.0,1.0
Big Show,WWE Championship,2,-22917.0,-11458.5,-10909.0,-12008.0,2002-11-17,1999-11-14,1970-01-01 00:00:00.000000002,8206.0,1,12007.0,-10909.0,2.0
Bob Backlund,WWE Championship,3,-15701.0,-5233.7,-2972.0,-9092.0,1994-11-23,1978-02-20,1970-01-01 00:00:00.000000002,11122.0,1,6363.5,-2972.0,3.0
Bray Wyatt,WWE Championship,1,-17209.0,-17209.0,-17209.0,-17209.0,2017-02-12,2017-02-12,1970-01-01 00:00:00.000000001,3005.0,1,,-17209.0,1.0
Bret Hart,WWE Championship,5,-46601.0,-9320.2,-8320.0,-10076.0,1997-08-03,1992-10-12,1970-01-01 00:00:00.000000005,10138.0,1,9569.2,-8320.0,5.0
Brock Lesnar,WWE Championship,5,-70848.0,-14169.6,-11924.0,-18173.0,2019-10-04,2002-08-25,1970-01-01 00:00:00.000000005,2041.0,1,14730.0,-11924.0,5.0
Bruno Sammartino,WWE Championship,2,-72068.0,-36034.0,-34104.0,-37964.0,2073-12-10,2063-05-17,1970-01-01 00:00:00.000000002,-17750.0,1,37963.0,-34104.0,2.0
Buddy Rogers,WWE Championship,1,-34068.0,-34068.0,-34068.0,-34068.0,2063-04-11,2063-04-11,1970-01-01 00:00:00.000000001,-13854.0,1,,-34068.0,1.0
Bull Nakano,WWE Women's Championship,1,-9089.0,-9089.0,-9089.0,-9089.0,1994-11-20,1994-11-20,1970-01-01 00:00:00.000000001,11125.0,1,,-9089.0,1.0
CM Punk,WWE Championship,3,-45670.0,-15223.3,-15172.0,-15298.0,2011-11-20,2011-07-17,1970-01-01 00:00:00.000000002,4916.0,1,15248.0,-15172.0,3.0
Candice Michelle,WWE Women's Championship,1,-13688.0,-13688.0,-13688.0,-13688.0,2007-06-24,2007-06-24,1970-01-01 00:00:00.000000001,6526.0,1,,-13688.0,1.0
Carmella,WWE SmackDown Women's Championship,1,-17631.0,-17631.0,-17631.0,-17631.0,2018-04-10,2018-04-10,1970-01-01 00:00:00.000000001,2583.0,1,,-17631.0,1.0
Charlotte,WWE Raw Women's Championship,2,-33928.0,-16964.0,-16894.0,-17034.0,2016-08-21,2016-04-03,1970-01-01 00:00:00.000000002,3180.0,1,17033.0,-16894.0,2.0
Charlotte Flair,WWE Raw Women's Championship,2,-34257.0,-17128.5,-17104.0,-17153.0,2016-12-18,2016-10-30,1970-01-01 00:00:00.000000004,3061.0,2,17764.0,-17104.0,3.5
Charlotte Flair,WWE SmackDown Women's Championship,5,-89437.0,-17887.4,-17484.0,-18175.0,2019-10-06,2017-11-14,1970-01-01 00:00:00.000000005,2039.0,2,17764.0,-17104.0,3.5
Chris Jericho,WWE Championship,1,-11665.0,-11665.0,-11665.0,-11665.0,2001-12-09,2001-12-09,1970-01-01 00:00:00.000000001,8549.0,1,,-11665.0,1.0
Chyna,WWE Women's Championship,1,-11413.0,-11413.0,-11413.0,-11413.0,2001-04-01,2001-04-01,1970-01-01 00:00:00.000000001,8801.0,1,,-11413.0,1.0
Daniel Bryan,WWE Championship,4,-65912.0,-16478.0,-15935.0,-17848.0,2018-11-13,2013-08-18,1970-01-01 00:00:00.000000004,2366.0,1,16658.0,-15935.0,4.0
Dean Ambrose,WWE Championship,1,-16971.0,-16971.0,-16971.0,-16971.0,2016-06-19,2016-06-19,1970-01-01 00:00:00.000000001,3243.0,1,,-16971.0,1.0
Debra,WWE Women's Championship,1,-10721.0,-10721.0,-10721.0,-10721.0,1999-05-10,1999-05-10,1970-01-01 00:00:00.000000001,9493.0,1,,-10721.0,1.0
Diesel,WWE Championship,1,-9095.0,-9095.0,-9095.0,-9095.0,1994-11-26,1994-11-26,1970-01-01 00:00:00.000000001,11119.0,1,,-9095.0,1.0
Drew McIntyre,WWE Championship,1,0.0,,,,,,1970-01-01 00:00:00.000000001,,1,,,1.0
Eddie Guerrero,WWE Championship,1,-12463.0,-12463.0,-12463.0,-12463.0,2004-02-15,2004-02-15,1970-01-01 00:00:00.000000001,7751.0,1,,-12463.0,1.0
Edge,WWE Championship,4,-54963.0,-13740.8,-13156.0,-14269.0,2009-01-25,2006-01-08,1970-01-01 00:00:00.000000004,5945.0,1,13934.7,-13156.0,4.0
Evelyn Stevens,WWE Women's Championship,1,-3202.0,-3202.0,-3202.0,-3202.0,1978-10-08,1978-10-08,1970-01-01 00:00:00.000000001,17012.0,1,,-3202.0,1.0
Gail Kim,WWE Women's Championship,1,-12233.0,-12233.0,-12233.0,-12233.0,2003-06-30,2003-06-30,1970-01-01 00:00:00.000000001,7981.0,1,,-12233.0,1.0
Hervina,WWE Women's Championship,1,-10987.0,-10987.0,-10987.0,-10987.0,2000-01-31,2000-01-31,1970-01-01 00:00:00.000000001,9227.0,1,,-10987.0,1.0
Hollywood Hulk Hogan,WWE Championship,1,-11798.0,-11798.0,-11798.0,-11798.0,2002-04-21,2002-04-21,1970-01-01 00:00:00.000000006,8416.0,1,,-11798.0,1.0
Hulk Hogan,WWE Championship,5,-36418.0,-7283.6,-5135.0,-8494.0,1993-04-04,1984-01-23,1970-01-01 00:00:00.000000005,11720.0,1,7819.8,-5135.0,5.0
Ivan Koloff,WWE Championship,1,-36907.0,-36907.0,-36907.0,-36907.0,2071-01-18,2071-01-18,1970-01-01 00:00:00.000000001,-16693.0,1,,-36907.0,1.0
Ivory,WWE Women's Championship,3,-10889.0,-10889.0,-10889.0,-10889.0,1999-10-25,1999-10-25,1970-01-01 00:00:00.000000003,9325.0,1,,-10889.0,3.0
Jacqueline,WWE Women's Championship,2,0.0,,,,,,1970-01-01 00:00:00.000000002,,1,,,2.0
Jazz,WWE Women's Championship,2,-23891.0,-11945.5,-11722.0,-12169.0,2003-04-27,2002-02-04,1970-01-01 00:00:00.000000002,8045.0,1,12168.0,-11722.0,2.0
Jeff Hardy,WWE Championship,1,-14227.0,-14227.0,-14227.0,-14227.0,2008-12-14,2008-12-14,1970-01-01 00:00:00.000000001,5987.0,1,,-14227.0,1.0
Jinder Mahal,WWE Championship,1,-17307.0,-17307.0,-17307.0,-17307.0,2017-05-21,2017-05-21,1970-01-01 00:00:00.000000001,2907.0,1,,-17307.0,1.0
John Bradshaw Layfield,WWE Championship,1,-12596.0,-12596.0,-12596.0,-12596.0,2004-06-27,2004-06-27,1970-01-01 00:00:00.000000001,7618.0,1,,-12596.0,1.0
John Cena,WWE Championship,13,-192617.0,-14816.7,-12876.0,-17195.0,2017-01-29,2005-04-03,1970-01-01 00:00:00.000000013,3019.0,1,14977.4,-12876.0,13.0
